,rank,peak,title,gross,year,reference
47,48,4,The Dark Knight,"$1,005,973,645",2008,[# 77][# 78]
46,47,2,Harry Potter and the Philosopher's Stone,"$1,006,968,171",2001,[# 75][# 76]
45,46,14,The Hobbit: An Unexpected Journey,"$1,017,003,568",2012,[# 73][# 74]
44,45,24,Zootopia,"$1,023,784,195",2016,[# 72][# 39]
43,44,5,Alice in Wonderland,"$1,025,467,110",2010,[# 70][# 71]
42,43,2,Star Wars: Episode I – The Phantom Menace,"$1,027,044,677",1999,[# 69][# 6]
41,42,22,Finding Dory,"$1,028,570,889",2016,[# 67][# 68]
40,41,1,Jurassic Park,"$1,029,939,903",1993,[# 65][# 66]
39,40,24,Despicable Me 3,"$1,034,799,409",2017,[# 64][# 31]
38,39,6,Pirates of the Caribbean: On Stranger Tides,"$1,045,713,802",2011,[# 63][# 57]
37,38,34,Aladdin,"$1,050,693,953",2019,[# 62][# 4]
36,37,20,Rogue One: A Star Wars Story,"$1,056,057,273",2016,[# 60][# 61]
35,36,3,Pirates of the Caribbean: Dead Man's Chest,"$1,066,179,725",2006,[# 58][# 59]
34,35,4TS3,Toy Story 3,"$1,066,969,703",2010,[# 56][# 57]
33,34,30,Toy Story 4,"$1,073,394,593",2019,[# 55][# 4]
32,33,32,Star Wars: The Rise of Skywalker,"$1,074,144,248",2019,[# 54][# 19]
31,32,31,Joker,"$1,074,251,311",2019,[# 53][# 19]
30,31,7,The Dark Knight Rises,"$1,081,142,612",2012,[# 51][# 52]
29,30,10,Transformers: Age of Extinction,"$1,104,054,072",2014,[# 49][# 50]
28,29,7,Skyfall,"$1,108,561,013",2012,[# 47][# 48]
27,28,5RK,Transformers: Dark of the Moon,"$1,123,794,079",2011,[# 46][# 24]
26,27,23RK,Captain Marvel,"$1,128,274,794",2019,[# 44][# 45]
25,26,24RK,Spider-Man: Far From Home,"$1,131,927,996",2019,[# 43][# 4]
24,25,2,The Lord of the Rings: The Return of the King,"$1,146,030,912",2003,[# 41][# 42]
23,24,20,Aquaman,"$1,148,485,886",2018,[# 40][# 10]
22,23,12,Captain America: Civil War,"$1,153,329,473",2016,[# 38][# 39]
21,22,10,Minions,"$1,159,398,397",2015,[# 37][# 12]
20,21,5,Iron Man 3,"$1,214,811,252",2013,[# 35][# 36]
19,20,20,Spider-Man: No Way Home,"$1,217,542,000",2021,[# 34]
17,18,15,Incredibles 2,"$1,242,805,359",2018,[# 32][# 10]
16,17,10,Beauty and the Beast,"$1,263,521,126",2017,[# 30][# 31]
14,15,12,Jurassic World: Fallen Kingdom,"$1,309,484,461",2018,[# 27][# 10]
13,14,9,Star Wars: The Last Jedi,"$1,332,539,889",2017,[# 25][# 26]
12,13,3,Harry Potter and the Deathly Hallows – Part 2,"$1,342,025,430",2011,[# 23][# 24]
11,12,9,Black Panther,"$1,347,280,838",2018,[# 21][# 22]
10,11,5,Avengers: Age of Ultron,"$1,402,805,868",2015,[# 20][# 17]
9,10,10,Frozen II,"$1,450,026,933",2019,[# 18][# 19]
8,9,4,Furious 7,"$1,516,045,911",2015,[# 16][# 17]
7,8,3,The Avengers,"$1,518,812,988",2012,[# 14][# 15]
6,7,7,The Lion King,"$1,656,943,394",2019,[# 13][# 4]
5,6,3,Jurassic World,"$1,671,713,208",2015,[# 11][# 12]
4,5,4,Avengers: Infinity War,"$2,048,359,754",2018,[# 9][# 10]
3,4,3,Star Wars: The Force Awakens,"$2,068,223,624",2015,[# 7][# 8]
2,3,1,Titanic,"$2,187,425,379",1997,[# 5][# 6]
1,2,1,Avengers: Endgame,"$2,797,501,328",2019,[# 3][# 4]
0,1,1,Avatar,"$2,847,246,203",2009,[# 1][# 2]
49,50,19DM2,Despicable Me 2,"$970,761,885",2013,[# 81][# 36]
48,49,10,Harry Potter and the Deathly Hallows – Part 1,"$976,941,486",2010,[# 79][# 80]
15,16,5,Frozen,"F$1,290,000,000",2013,[# 28][# 29]
18,19,11,The Fate of the Furious,"$1,238,764,765",2017,[# 33][# 31]
